procName,ImagePath,parentProc,NumberOfInstances,UserAccount,ChildProcs,GrandParentProcs,Ports,Notes
AggregatorHost.exe,C:\Windows\System32\AggregatorHost.exe,svchost.exe,1,SYSTEM,,,,
audiodg.exe,C:\Windows\system32\AUDIODG.EXE,svchost.exe,1,LOCAL SERVICE,,,,
Code.exe,C:\Users\student\AppData\Local\Programs\Microsoft VS Code\Code.exe,"code.exe,explorer.exe",2,USER,,,,
com.docker.service,C:\Program Files\Docker\Docker\com.docker.service,services.exe,1,SYSTEM,,,,
conhost.exe,C:\Windows\system32\conhost.exe,MULTIPLE,2,USER,,,,
csrss.exe,null,null,2,SYSTEM,,,,
ctfmon.exe,C:\Windows\system32\ctfmon.exe,svchost.exe,1,USER,,,,
dllhost.exe,C:\Windows\system32\DllHost.exe,"svchost.exe,services.exe",2,USER,,,,
dwm.exe,C:\Windows\system32\dwm.exe,winlogon.exe,1,DWM-1,,,,
everything.exe,C:\Program Files\Everything\Everything.exe,"services.exe,explorer.exe",2,USER,,,,
explorer.exe,C:\Windows\explorer.exe,null,2,USER,,,,
fontdrvhost.exe,C:\windows\System32\fontdrvhost.exe,"winlogon.exe,wininit.exe",2,UMFD-#,,,,
lsaiso.exe,C:\Windows\system32\lsaiso.exe,wininit.exe,1,SYSTEM,,,,
lsass.exe,C:\Windows\system32\lsass.exe,wininit.exe,1,SYSTEM,,,,
Memory Compression,null,System,1,SYSTEM,,,,
msdtc.exe,C:\Windows\System32\msdtc.exe,services.exe,1,NETWORK SERVICE,,,,
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe,2,USER,,,,
MsMpEng.exe,C:\ProgramData\,services.exe,1,SYSTEM,,,,
NisSrv.exe,null,services.exe,1,LOCAL SERVICE,,,,
powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MULTIPLE,2,USER,,,,
pwsh.exe,C:\Program Files\PowerShell\7\pwsh.exe,"explorer.exe,code.exe",2,USER,,,,
Registry,null,System,1,SYSTEM,,,,
runtimebroker.exe,C:\Windows\system32\runtimebroker.exe,svchost.exe,2,SYSTEM,,,,
SearchFilterHost.exe,C:\Windows\system32\SearchFilterHost.exe,SearchIndexer.exe,1,SYSTEM,,,,
SearchHost.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,svchost.exe,1,USER,,,,
SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe,services.exe,1,SYSTEM,,,,
SearchProtocolHost.exe,C:\Windows\System32\SearchProtocolHost.exe,SearchIndexer.exe,2,SYSTEM,,,,
Secure System,null,System,1,SYSTEM,,,,
SecurityHealthService.exe,C:\Windows\System32\SecurityHealthService.exe,services.exe,1,SYSTEM,,,,
SecurityHealthSystray.exe,C:\Windows\System32\SecurityHealthSystray.exe,explorer.exe,1,USER,,,,
services.exe,null,wininit.exe,1,SYSTEM,,,,
SgrmBroker.exe,C:\Windows\System32\SgrmBroker.exe,services.exe,1,SYSTEM,,,,
ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,svchost.exe,1,USER,,,,
sihost.exe,C:\Windows\system32\sihost.exe,svchost.exe,1,USER,,,,
smartscreen.exe,C:\Windows\System32\smartscreen.exe,svchost.exe,1,USER,,,,
smss.exe,null,"System,System Idle Process",1,SYSTEM,,,,
spoolsv.exe,C:\Windows\System32\spoolsv.exe,services.exe,1,SYSTEM,,,,
StartMenuExperienceHost.exe,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,svchost.exe,1,USER,,,,
svchost.exe,C:\Windows\system32\svchost.exe,services.exe,2,MULTIPLE,,,,
System,null,System Idle Process,1,null,,,,
System Idle Process,null,null,1,null,,,,
taskhostw.exe,C:\Windows\system32\taskhostw.exe,svchost.exe,2,SYSTEM,,,,
uhssvc.exe,C:\Program Files\Microsoft Update Health Tools\uhssvc.exe,services.exe,1,SYSTEM,,,,
unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,svchost.exe,1,SYSTEM,,,,
VGAuthService.exe,C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,services.exe,1,SYSTEM,,,,
vm3dservice.exe,C:\Windows\system32\vm3dservice.exe,"vm3dservice.exe,services.exe",2,SYSTEM,,,,
vmcompute.exe,C:\Windows\system32\vmcompute.exe,services.exe,1,SYSTEM,,,,
vmtoolsd.exe,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,"services.exe,explorer.exe",2,USER,,,,
Widgets.exe,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_421.20070.765.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,svchost.exe,1,USER,,,,
wininit.exe,null,null,1,SYSTEM,,,,
winlogon.exe,C:\Windows\system32\winlogon.exe,null,2,SYSTEM,,,,
WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,svchost.exe,1,NETWORK SERVICE,,,,
